StudentID,OffClass,Grade,Course,Section,Teacher1,Teacher2,Period,Room
STUDENT1,1V1,9,EEFG3,9,ORMAECHEA,,6,246
STUDENT1,1V1,9,FFFC3,2,MAHARAJH,,3,334A
STUDENT1,1V1,9,HGF85QQD,14,FISHMAN,,9,223
STUDENT1,1V1,9,HGF86QQD,14,FISHMAN DBL,,10,223
STUDENT1,1V1,9,MEF43,1,BUKALOV,,2,325
STUDENT1,1V1,9,PHF43Q2,8,VLANTIS,,7,149
STUDENT1,1V1,9,PPF43Q3C,19,MCDERMOTT GREENE,,7,GYM2
STUDENT1,1V1,9,SDF43,1,SADIGH,,4,235
STUDENT1,1V1,9,SLF43,4,GAPPELBERG,,5,336
STUDENT1,1V1,9,ZLUN,8,ZZ STAFF,,8,CAFÉ
STUDENT1,1V1,9,ZQACSIGS,1,COLLAZO,,13,150
STUDENT1,1V1,9,ZQCTEERT,1,,,14,
STUDENT1,1V1,9,ZQGJUN25,1,,,14,
STUDENT2,4D9,12,EEFGFUQX,1,RIVERA,,3,347
STUDENT2,4D9,12,FSFCBU,9,TSAI C,,8,215
STUDENT2,4D9,12,GQF11QU2,10,,,10,LIB
STUDENT2,4D9,12,MPF43UQJ,4,ROFFLER,,6,211
STUDENT2,4D9,12,PGF43Q3C,6,DYCKMAN,,10,GYM1
STUDENT2,4D9,12,SHF21U2C,1,NANDKUMAR,,2,125
STUDENT2,4D9,12,SPF43,10,NORWICH,,9,229
STUDENT2,4D9,12,SRF21U3,1,MARCHESE,,2,125
STUDENT2,4D9,12,ULF41QQD,2,GUNDERSEN,,4,B39
STUDENT2,4D9,12,ULF42QQD,2,GUNDERSEN DBL,,5,B39
STUDENT2,4D9,12,ZLUN,7,ZZ STAFF,,7,CAFÉ
STUDENT2,4D9,12,ZQACSIGS,1,COLLAZO,,13,150
STUDENT2,4D9,12,ZQCTEMPP,1,,,14,
STUDENT2,4D9,12,ZQGJUN22,1,,,14,
STUDENT3,2M0,10,BCF43T,32,DELOUGHY,,2,211
STUDENT3,2M0,10,EEFG7QH,1,RIVERA,,4,347
STUDENT3,2M0,10,FSFC7,2,CAMAS,,3,333
STUDENT3,2M0,10,HFF43,2,HERMAN,,8,221
STUDENT3,2M0,10,MGF43,9,BANU,,9,203
STUDENT3,2M0,10,PGF43Q3C,6,DYCKMAN,,10,GYM1
STUDENT3,2M0,10,SHFC5TM,3,ABDELFATTAH,,6,149
STUDENT3,2M0,10,SPF43QG,2,NORWICH,KLEINER EILON,5,231
STUDENT3,2M0,10,UAF43Q2,7,LIGUORI,,10,B28
STUDENT3,2M0,10,ZLUN,7,ZZ STAFF,,7,CAFÉ
STUDENT3,2M0,10,ZQACSIGS,1,COLLAZO,,13,150
STUDENT3,2M0,10,ZQCTESMM,1,,,14,
STUDENT3,2M0,10,ZQGJUN24,1,,,14,
STUDENT4,2F0,10,EEFG7QH,2,RIVERA,,8,347
STUDENT4,2F0,10,FJFC7,1,SAKAI,,9,122
STUDENT4,2F0,10,HQFC3TH,1,MARK,,3,315
STUDENT4,2F0,10,HUF43,3,LUNG BUGENSKI,,7,250
STUDENT4,2F0,10,MRF43,5,SCHWARTZ S,,4,323
STUDENT4,2F0,10,PGF43Q2C,6,DYCKMAN,,10,GYM1
STUDENT4,2F0,10,SCF83QGF,2,HAN,MILLE,5,139
STUDENT4,2F0,10,UAF43Q3,7,LIGUORI,,10,B28
STUDENT4,2F0,10,ZLUN,6,ZZ STAFF,,6,CAFÉ
STUDENT4,2F0,10,ZQACSIGS,1,COLLAZO,,13,150
STUDENT4,2F0,10,ZQCTEHHR,1,,,14,
STUDENT4,2F0,10,ZQGJUN24,1,,,14,
STUDENT5,2M0,10,EEFG7QW,2,DELSIGNORE,,5,124
STUDENT5,2M0,10,FSFC7,5,JASIENOWSKI,,4,229
STUDENT5,2M0,10,HUF43QT,5,FLYNN,BARRETTA,9,314
STUDENT5,2M0,10,MKFC3TC,6,PORCHETTA,,10,322
STUDENT5,2M0,10,MRF43QT,3,DEPINTO,RICCARDO,6,321
STUDENT5,2M0,10,PPF43Q2C,8,DYCKMAN,,3,GYM3
STUDENT5,2M0,10,SCF43QT,3,GAMBOA,SULTANA,7,323
STUDENT5,2M0,10,UAF43Q3,2,LIGUORI,,3,B27
STUDENT5,2M0,10,ZLUN,8,ZZ STAFF,,8,CAFÉ
STUDENT5,2M0,10,ZQACSIGS,1,COLLAZO,,13,150
STUDENT5,2M0,10,ZQCTECWD,1,,,14,
STUDENT5,2M0,10,ZQGJUN24,1,,,14,
STUDENT6,2D9,10,BCF43T,22,DELOUGHY,,2,211
STUDENT6,2D9,10,EEFGB,3,SERPE,,9,126
STUDENT6,2D9,10,EEFGFUGF,1,BELINFANTI,DELOUGHY,4,125
STUDENT6,2D9,10,HGF83QF,40,YAZDANFAR,,7,219
STUDENT6,2D9,10,MRF87QGF,5,STANISCI,,10,208
STUDENT6,2D9,10,PPF43Q2C,3,CORRADO,,2,GYM3
STUDENT6,2D9,10,SDF43QGE,4,COHEN I,ANDERSON CAMPBELL,6,341
STUDENT6,2D9,10,UEFG7U,1,WANG,,3,B28
STUDENT6,2D9,10,ULFC7UPT,3,COHEN A,,8,B30
STUDENT6,2D9,10,ZLUN,5,ZZ STAFF,,5,CAFÉ
STUDENT6,2D9,10,ZQACSC,1,COLLAZO,,13,150
STUDENT6,2D9,10,ZQCTEMPP,1,,,14,
STUDENT6,2D9,10,ZQGJUN23,1,,,14,
